Timestamp,Date,USDT,USDC,PYUSD,USDe,DAI,FDUSD
1713484800,2024-04-19,109626703875,32426798943,165881396,2364831690,4988612268,3301173088
1713398400,2024-04-18,109037057960,29822078773,166374693,2374519269,4941397598,3361135248
1713312000,2024-04-17,108850326877,31931426237,167615213,2357733018,5035419860,3533611123
1713225600,2024-04-16,108172906462,31679194159,161429585,2361311549,4922635098,3595370772
1713139200,2024-04-15,107695174387,31565693027,161077215,2364024529,5012242343,3566786685
1713052800,2024-04-14,107634212916,31564046876,160604614,2374545997,5066747800,3560466798
1712966400,2024-04-13,107437724782,31250016708,160742147,2389563279,4875194205,3587833878
1712880000,2024-04-12,107384743432,31527635734,161330463,2363713097,4808622717,2953119573
1712793600,2024-04-11,107193158226,31509645825,161041926,2328810095,4791804133,2920827879
1712707200,2024-04-10,107111455988,31612175334,159949808,2278596735,4745275334,2996127207
1712620800,2024-04-09,106940561216,31873435429,160236879,2221465347,4793749752,3122524996
1712534400,2024-04-08,106813371160,32177145005,159565161,2069554812,5020938298,3141982168
1712448000,2024-04-07,106876390717,32231309133,159399878,2041475216,5045654029,3157973542
1712361600,2024-04-06,106897421348,32262528117,159633976,2013975479,4981461654,3157973542
1712275200,2024-04-05,106577367562,32300367400,160131645,2004738313,4930671598,2517714023
1712188800,2024-04-04,106235038539,32227321489,159686830,1977471671,4867169917,2142986973
1712102400,2024-04-03,105162325065,32097991712,158818606,1792468437,4894433644,2134568978
1712016000,2024-04-02,104583887620,31950812283,157797997,1558590684,4895402404,2185683368
1711929600,2024-04-01,104430769909,31790934909,158157768,1537863949,4828700122,2178303448
1711843200,2024-03-31,104593960679,31888581067,158510305,1533960515,4824415825,2189173226
1711756800,2024-03-30,104467632908,31813195975,158328962,1506114055,4826052061,2184825315
1711670400,2024-03-29,104488442732,31762384010,157715098,1396747855,4750530284,2171792451
1711584000,2024-03-28,104542722577,31478983777,157702572,1366327711,4757558406,2186217638
1711497600,2024-03-27,104350179944,31645359448,157528244,1345995765,4754423579,2255318028
1711411200,2024-03-26,104231823342,31565676685,157598071,1326399226,4723260603,2254506142
1711324800,2024-03-25,103871776944,30537647709,157016951,1302964927,4822425225,2245385158
1711238400,2024-03-24,104101505605,30577649880,157432533,1288827114,4776386201,2244511260
1711152000,2024-03-23,103950511982,30520873399,157110525,1270770568,4701783299,2243736209
1711065600,2024-03-22,104146152650,30325922757,156937313,1230427686,4625061086,2308913804
1710979200,2024-03-21,103892152366,29851267426,157496772,1200935293,4593566105,2357079997
1710892800,2024-03-20,104078947607,29868265444,158208207,1179465958,4637978201,2512707787
1710806400,2024-03-19,103656755951,29627022278,157437497,1149187567,4674144743,2613555275
1710720000,2024-03-18,103368853847,29306983385,157090270,1110844799,4615400004,2611160953
1710633600,2024-03-17,103506480428,29455102871,159452477,1095620165,4658860078,2622177754
1710547200,2024-03-16,103514693506,29347437142,157326703,1080272235,4612663368,2639606534
1710460800,2024-03-15,103463082823,29114642499,174620571,1063050250,4538893353,2645879209
1710374400,2024-03-14,103227274219,29256896342,176146585,1002175094,4523044713,2562011213
1710288000,2024-03-13,102759639775,28932993422,181419913,957013666,4500985789,2701511307
1710201600,2024-03-12,102367141199,28933491163,190650097,900281477,4504066736,2862439840
1710115200,2024-03-11,102012255784,28549784939,192901618,869042671,4509826203,2918263517
1710028800,2024-03-10,102016381296,28473959601,191095704,851419712,4340023219,2935755606
1709942400,2024-03-09,101789628700,28438705052,191471935,840679485,4341965691,2918263517
1709856000,2024-03-08,101241417082,27884612179,190170044,831461630,4384017027,2790985872
1709769600,2024-03-07,100622511924,27643315863,190929931,826608832,4781108081,2720763283
1709683200,2024-03-06,100534835759,27461004595,191136506,813900268,4714882544,2761694842
1709596800,2024-03-05,100238894972,27454362491,187372580,779358961,4875976227,2834827565
1709510400,2024-03-04,99724901849,27659095468,233359492,715466130,4937336055,2896782478
1709424000,2024-03-03,99422260259,27633202705,232365948,672776885,4917347837,2869083254
1709337600,2024-03-02,99272633719,27701302352,232539296,621475054,4949324545,2876231719
1709251200,2024-03-01,98932984696,27567259100,273038923,586849250,4931227075,2927812444
1709164800,2024-02-29,98654376826,27288538067,272487061,520553648,4911629565,2918424372
1709078400,2024-02-28,98378060190,27223268720,274558434,498043647,4902878120,2936699529
1708992000,2024-02-27,98076466747,27208402145,281644376,482644154,4891349417,2896837853
1708905600,2024-02-26,97888948753,27002777622,272252875,438089329,4871904740,2899734691
1708819200,2024-02-25,97836769496,26971671152,272094511,427662497,4857188027,2902631529
1708732800,2024-02-24,97897857760,26968070167,272871136,420890696,4852897366,2905528366
1708646400,2024-02-23,97751167575,26880158126,272620010,413999023,4833289737,2703329769
1708560000,2024-02-22,97712632144,26849270975,272428163,366030353,4852109211,2456810339
1708473600,2024-02-21,97787711855,26819040278,272736122,336034095,4858090731,2379357409
1708387200,2024-02-20,97666842000,26855740262,271714384,279605067,4895832670,2420854497
1708300800,2024-02-19,97664260351,26923120421,277180941,242299331,4848786610,2433554463
1708214400,2024-02-18,97742174104,26992523797,277270430,237538796,4841786921,2433573931
1708128000,2024-02-17,97634647604,26945682032,271000355,233468591,4821883565,2436007505
